viewId,chartType,queryStr,resolvedQueryStr,md5,svgFilename,durationReceiveData,durationTotal,heapUsed,totalDataFileSize
access-drinking-water-stacked,StackedDiscreteBar,tab=stacked-discrete-bar,tab=stacked-discrete-bar,31be62bfeba07114f2ea18c758398e4f,access-drinking-water-stacked-a7a77a74cb2b694300091c7481efc11f_v18_300x160.svg,42,93,213886600,860601
americans-worry-work-being-automated,SlopeChart,tab=slope,tab=slope,89c8d81749dfe412e22bdc0ade2f716a,americans-worry-work-being-automated-b641ba3f8c55310ebaa72a56775e90dd_v28_300x160.svg,7,32,199484536,20512
americans-worry-work-being-automated,LineChart,tab=line,tab=line,ddd45e3041cc70de6357476dda8566a3,americans-worry-work-being-automated-dfdaadb3d9a271eeafcf1252a03a641f_v28_300x160.svg,7,47,200781624,20512
annual-co-emissions-by-region,StackedArea,tab=stacked-area,tab=stacked-area,8e45db4a4fc95c05f199b7142c4aaaf9,annual-co-emissions-by-region-9da5fabd5ba19117b27cdbe481d84f99_v54_300x160.svg,28,111,212840432,940154
annual-co2-emissions-per-country,WorldMap,tab=map,tab=map,7345cdf9bf69e7b6a64215b6462cc7e7,annual-co2-emissions-per-country-83275d7e04dd5874f8a63e9a2aca43be_v55_300x160.svg,31,254,216854328,940154
annual-co2-emissions-per-country,LineChart,tab=line,tab=line,000d8a7186b20c2b6e73d9e88481129b,annual-co2-emissions-per-country-dfdaadb3d9a271eeafcf1252a03a641f_v55_300x160.svg,12,85,205556656,940154
annual-co2-emissions-per-country,DiscreteBar,tab=discrete-bar,tab=discrete-bar,6d92e9c83b33d68f71b34282f49627e9,annual-co2-emissions-per-country-f88355aac84b3af61e7230eae8da2f3a_v55_300x160.svg,23,155,207634832,940154
annual-death-rate-by-age-group,DiscreteBar,tab=discrete-bar,tab=discrete-bar,e83ac11b3c17d213fc02247e70b859d6,annual-death-rate-by-age-group-f88355aac84b3af61e7230eae8da2f3a_v15_300x160.svg,67,114,227018080,2488296
annual-deaths-by-age,DiscreteBar,tab=discrete-bar,tab=discrete-bar,f0739bb163016c0e04534b75bb551299,annual-deaths-by-age-f88355aac84b3af61e7230eae8da2f3a_v32_300x160.svg,981,1116,298152000,11153744
annual-number-of-deaths-by-cause,DiscreteBar,tab=discrete-bar,tab=discrete-bar,e048d8f5be5f0ac54d066519c2433788,annual-number-of-deaths-by-cause-f88355aac84b3af61e7230eae8da2f3a_v63_300x160.svg,337,454,280952816,10224323
annual-temperature-anomalies,WorldMap,tab=map,tab=map,99fba356867303e672fced1d984c7a9b,annual-temperature-anomalies-83275d7e04dd5874f8a63e9a2aca43be_v21_300x160.svg,13,122,215336536,649598
annual-temperature-anomalies,StackedBar,tab=stacked-bar,tab=stacked-bar,00736b845874e3dac52ffc977b1e493f,annual-temperature-anomalies-68501dd450fb1055ac19ba51b2b84f64_v21_300x160.svg,14,116,202923160,649598
artificial-intelligence-granted-patents-by-industry,SlopeChart,tab=slope,tab=slope,20827240b69bbc56d1dfd51e61d75da6,artificial-intelligence-granted-patents-by-industry-b641ba3f8c55310ebaa72a56775e90dd_v16_300x160.svg,10,34,203433336,60156
birth-rate-vs-death-rate,ScatterPlot,tab=scatter,tab=scatter,3a9167b7c555539fa45426e1b52becc1,birth-rate-vs-death-rate-7ae6b286ba87c656487e4399a73119dc_v30_300x160.svg,71,196,264172936,1757724
bribery-prevalence-un,WorldMap,tab=map,tab=map,7f0b2b87236e26d389ada8971a5a4d83,bribery-prevalence-un-83275d7e04dd5874f8a63e9a2aca43be_v33_300x160.svg,4,69,223684176,16917
bribery-prevalence-un,DiscreteBar,tab=discrete-bar,tab=discrete-bar,63cb61e543f69f6132f12a85840d9d23,bribery-prevalence-un-f88355aac84b3af61e7230eae8da2f3a_v33_300x160.svg,4,24,208553760,16917
bribery-prevalence-un,LineChart,tab=line,tab=line,18c91f347ce0108ebbdaeabb61e9c1da,bribery-prevalence-un-dfdaadb3d9a271eeafcf1252a03a641f_v33_300x160.svg,5,30,219011792,16917
bribery-prevalence-un,SlopeChart,tab=slope,tab=slope,97d3e3836380b4e61e123a6231a098c8,bribery-prevalence-un-b641ba3f8c55310ebaa72a56775e90dd_v33_300x160.svg,3,18,234442952,16917
bribery-prevalence-un,Marimekko,tab=marimekko,tab=marimekko,96ac80d3c38c5483f32cc27835d3b59f,bribery-prevalence-un-319ce4be43de4150da31ae9a5de0ac26_v33_300x160.svg,4,55,253493488,16917
car-sales,StackedBar,tab=stacked-bar,tab=stacked-bar,ac2ee5a368d614aeb2f52fb3c705c5df,car-sales-68501dd450fb1055ac19ba51b2b84f64_v15_300x160.svg,3,13,161493664,26639
carbon-dioxide-emissions-factor,DiscreteBar,tab=discrete-bar,tab=discrete-bar,92c7310dbab897331386512d23768ee4,carbon-dioxide-emissions-factor-f88355aac84b3af61e7230eae8da2f3a_v11_300x160.svg,3,22,211365960,1840
co-emissions-per-capita,WorldMap,tab=map,tab=map,4e75325874153d4618dae46f75e81e0b,co-emissions-per-capita-83275d7e04dd5874f8a63e9a2aca43be_v59_300x160.svg,7,140,247669048,899109
co-emissions-per-capita,LineChart,tab=line,tab=line,c81d410fc54318927849cb8417dae175,co-emissions-per-capita-dfdaadb3d9a271eeafcf1252a03a641f_v59_300x160.svg,9,95,222742880,899109
co-emissions-per-capita,SlopeChart,tab=slope,tab=slope,3813240f29dcd8288fd877ccf1ecd6db,co-emissions-per-capita-b641ba3f8c55310ebaa72a56775e90dd_v59_300x160.svg,14,105,243891208,899109
co-emissions-per-capita,DiscreteBar,tab=discrete-bar,tab=discrete-bar,529bb94b0ac86171c334bbc31a4b5ed0,co-emissions-per-capita-f88355aac84b3af61e7230eae8da2f3a_v59_300x160.svg,14,72,214060120,899109
co2-emissions-vs-gdp,ScatterPlot,tab=scatter,tab=scatter,1864a1f38ca345c556bd9fddea5ee5c6,co2-emissions-vs-gdp-7ae6b286ba87c656487e4399a73119dc_v67_300x160.svg,213,1418,389457976,3393712
co2-per-capita-marimekko,Marimekko,tab=marimekko,tab=marimekko,5c9b306b670586a7a5bec98e96f6af83,co2-per-capita-marimekko-319ce4be43de4150da31ae9a5de0ac26_v38_300x160.svg,244,1141,253945488,2740788
corporate-investment-in-artificial-intelligence-by-type,StackedBar,tab=stacked-bar,tab=stacked-bar,b8f0b0fd04980a78938dd2e01be8d24d,corporate-investment-in-artificial-intelligence-by-type-68501dd450fb1055ac19ba51b2b84f64_v49_300x160.svg,3,25,209416984,2372
cost-space-launches-low-earth-orbit,ScatterPlot,tab=scatter,tab=scatter,d3c899470867c62b6f4f3e2c345b8b80,cost-space-launches-low-earth-orbit-7ae6b286ba87c656487e4399a73119dc_v22_300x160.svg,4,96,219042504,4274
covid-people-vaccinated-marimekko,Marimekko,tab=marimekko,tab=marimekko,332af26f1fafb08a96facc499265d974,covid-people-vaccinated-marimekko-319ce4be43de4150da31ae9a5de0ac26_v1017_300x160.svg,911,3116,522638184,5314089
covid-vaccinations-vs-covid-death-rate,ScatterPlot,tab=scatter,tab=scatter,e030648b6c892f798e14b2847ed5a27d,covid-vaccinations-vs-covid-death-rate-7ae6b286ba87c656487e4399a73119dc_v4142_300x160.svg,5411,7454,775912000,18490821
cumulative-covid-deaths-region,StackedArea,tab=stacked-area,tab=stacked-area,112811ef35b13ea33e15093f0ec450be,cumulative-covid-deaths-region-9da5fabd5ba19117b27cdbe481d84f99_v3095_300x160.svg,330,1073,276522528,15367489
daily-income-or-consumption-of-the-richest-10-marimekko,WorldMap,tab=map,tab=map,b8bb27f082fc0d10caa6906245f8d7de,daily-income-or-consumption-of-the-richest-10-marimekko-83275d7e04dd5874f8a63e9a2aca43be_v34_300x160.svg,9,204,222228816,123460
daily-income-or-consumption-of-the-richest-10-marimekko,Marimekko,tab=marimekko,tab=marimekko,6067dd5ed986b821c765718fdb23d604,daily-income-or-consumption-of-the-richest-10-marimekko-319ce4be43de4150da31ae9a5de0ac26_v34_300x160.svg,12,306,278748880,123460
death-rates-from-energy-production-per-twh,DiscreteBar,tab=discrete-bar,tab=discrete-bar,3465a3eab60732123ebc46f90243b6c4,death-rates-from-energy-production-per-twh-f88355aac84b3af61e7230eae8da2f3a_v10_300x160.svg,5,54,216526296,341
deaths-in-armed-conflicts-by-country,WorldMap,tab=map,tab=map,d41830a173a4db08e65930f084c0b322,deaths-in-armed-conflicts-by-country-83275d7e04dd5874f8a63e9a2aca43be_v81_300x160.svg,3,195,239107776,204896
deaths-in-armed-conflicts-by-country,StackedBar,tab=stacked-bar,tab=stacked-bar,041580d256874183633e06f3d7db61d9,deaths-in-armed-conflicts-by-country-68501dd450fb1055ac19ba51b2b84f64_v81_300x160.svg,13,449,227137280,204896
decadal-deaths-disasters-type,StackedBar,tab=stacked-bar,tab=stacked-bar,d0249e7ace761713e0a593e604ec9a0b,decadal-deaths-disasters-type-68501dd450fb1055ac19ba51b2b84f64_v13_300x160.svg,98,142,220147664,883773
democracy-index-eiu,WorldMap,tab=map,tab=map,7eb29e6cf7b9a089320cffac9c3dce95,democracy-index-eiu-83275d7e04dd5874f8a63e9a2aca43be_v108_300x160.svg,8,55,234509560,98091
democracy-index-eiu,LineChart,tab=line,tab=line,c44e3d6d424583da830f888a3285ff06,democracy-index-eiu-dfdaadb3d9a271eeafcf1252a03a641f_v108_300x160.svg,26,88,225681448,98091
democracy-index-eiu,SlopeChart,tab=slope,tab=slope,c1460c453011f51eceaff8ddfecf402d,democracy-index-eiu-b641ba3f8c55310ebaa72a56775e90dd_v108_300x160.svg,30,109,297730328,98091
democracy-index-eiu,DiscreteBar,tab=discrete-bar,tab=discrete-bar,fdacfcedbbfa075a0774070c02d6287b,democracy-index-eiu-f88355aac84b3af61e7230eae8da2f3a_v108_300x160.svg,9,22,250953440,98091
democracy-index-eiu,Marimekko,tab=marimekko,tab=marimekko,466e5d389c2e42b9dcc58562029de463,democracy-index-eiu-319ce4be43de4150da31ae9a5de0ac26_v108_300x160.svg,10,156,263914912,98091
diabetes-prevalence,WorldMap,tab=map,tab=map,df2f100795cb446c2486f173637d4c16,diabetes-prevalence-83275d7e04dd5874f8a63e9a2aca43be_v22_300x160.svg,5,145,241168208,12853
diabetes-prevalence,DiscreteBar,tab=discrete-bar,tab=discrete-bar,5ccfc7187221a4e5e71c9b2af72c54ba,diabetes-prevalence-f88355aac84b3af61e7230eae8da2f3a_v22_300x160.svg,2,54,253346896,12853
earthquake-deaths,WorldMap,tab=map,tab=map,c61507d1420dfb87dd0dc3f7b0538108,earthquake-deaths-83275d7e04dd5874f8a63e9a2aca43be_v11_300x160.svg,4,149,307205456,123351
earthquake-deaths,StackedBar,tab=stacked-bar,tab=stacked-bar,72d6b1cf09a4557e22b244be337813bc,earthquake-deaths-68501dd450fb1055ac19ba51b2b84f64_v11_300x160.svg,3,874,265759992,123351
economic-inequality-gini-index,WorldMap,tab=map,tab=map,60d40fb5e8e8b01878cb798e55eaf551,economic-inequality-gini-index-83275d7e04dd5874f8a63e9a2aca43be_v92_300x160.svg,5,97,267210496,110610
economic-inequality-gini-index,LineChart,tab=line,tab=line,36d0dc7f39fd1822b0960832db8961be,economic-inequality-gini-index-dfdaadb3d9a271eeafcf1252a03a641f_v92_300x160.svg,9,103,307017624,110610
economic-inequality-gini-index,DiscreteBar,tab=discrete-bar,tab=discrete-bar,dd6b89a2f6873b9be1d27d8041310d30,economic-inequality-gini-index-f88355aac84b3af61e7230eae8da2f3a_v92_300x160.svg,6,69,319688080,110610
economic-inequality-gini-index,Marimekko,tab=marimekko,tab=marimekko,0dca29401c0feb066b983a01866d1627,economic-inequality-gini-index-319ce4be43de4150da31ae9a5de0ac26_v92_300x160.svg,10,249,337478672,110610
electricity-prod-source-stacked,StackedArea,tab=stacked-area,tab=stacked-area,fdb5150a3efb14948be69b7e41c28922,electricity-prod-source-stacked-9da5fabd5ba19117b27cdbe481d84f99_v53_300x160.svg,100,134,291591560,1691696
energy-consumption-by-source-and-country,StackedArea,tab=stacked-area,tab=stacked-area,63d271e2412f5a96e9577bbd4ba4acb3,energy-consumption-by-source-and-country-9da5fabd5ba19117b27cdbe481d84f99_v46_300x160.svg,146,172,264968960,1885776
energy-use-per-person-vs-gdp-per-capita,ScatterPlot,tab=scatter,tab=scatter,f2a7d7ba77ce91e89551c36615ae2e21,energy-use-per-person-vs-gdp-per-capita-7ae6b286ba87c656487e4399a73119dc_v42_300x160.svg,50,321,277650256,617788
female-population-by-age-group,DiscreteBar,tab=discrete-bar,tab=discrete-bar,fcfe8f6705f36f0daf5a8e15ab0abc75,female-population-by-age-group-f88355aac84b3af61e7230eae8da2f3a_v4_300x160.svg,1185,1293,260286496,12062762
food-emissions-supply-chain,StackedDiscreteBar,tab=stacked-discrete-bar,tab=stacked-discrete-bar,0abe47fa2c4cda4fbc575b04665faba4,food-emissions-supply-chain-a7a77a74cb2b694300091c7481efc11f_v21_300x160.svg,5,42,420940440,13094
food-waste-per-capita,StackedDiscreteBar,tab=stacked-discrete-bar,tab=stacked-discrete-bar,26eb46b53f338368e11ca99bb851a4b9,food-waste-per-capita-a7a77a74cb2b694300091c7481efc11f_v14_300x160.svg,6,28,295256400,48081
gdp-per-capita-maddison-project-database,WorldMap,tab=map,tab=map,2d5dd8f15f22445032e394759097c2a9,gdp-per-capita-maddison-project-database-83275d7e04dd5874f8a63e9a2aca43be_v53_300x160.svg,14,289,303858720,652924
gdp-per-capita-maddison-project-database,LineChart,tab=line,tab=line,b33a1830b286c020df65f433b515982c,gdp-per-capita-maddison-project-database-dfdaadb3d9a271eeafcf1252a03a641f_v53_300x160.svg,20,68,302473112,652924
gdp-per-capita-maddison-project-database,SlopeChart,tab=slope,tab=slope,e839ab32b5a6d6586c9426ec6e2f127b,gdp-per-capita-maddison-project-database-b641ba3f8c55310ebaa72a56775e90dd_v53_300x160.svg,22,272,306457968,652924
gdp-per-capita-maddison-project-database,DiscreteBar,tab=discrete-bar,tab=discrete-bar,3d225fa2bd30d608a29a1820325d6567,gdp-per-capita-maddison-project-database-f88355aac84b3af61e7230eae8da2f3a_v53_300x160.svg,16,52,435535104,652924
gdp-per-capita-worldbank,WorldMap,tab=map,tab=map,7c46ed8ba9312ae5668cfb3a1787ca8f,gdp-per-capita-worldbank-83275d7e04dd5874f8a63e9a2aca43be_v57_300x160.svg,38,214,297763232,250566
gdp-per-capita-worldbank,LineChart,tab=line,tab=line,36392594f81113a5873643f64c5587e3,gdp-per-capita-worldbank-dfdaadb3d9a271eeafcf1252a03a641f_v57_300x160.svg,28,112,309249104,250566
gdp-per-capita-worldbank,SlopeChart,tab=slope,tab=slope,de62529721f1e633f4372310d617c9cb,gdp-per-capita-worldbank-b641ba3f8c55310ebaa72a56775e90dd_v57_300x160.svg,22,63,448844832,250566
